"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crinoidea&interval=ordovician,devonian"
"Access Time","Wed 2018-03-07 13:59:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crinoidea"
"","interval","ordovician,devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.412"
"Records Found","5491"
"Records Returned","5491"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"7186","occ","","","501","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Wenlock","","433.4","427.4","17054"
"7214","occ","","","503","Cyclocrinus sp.","genus","32558","","Cyclocrinus","genus","32558","Llandovery","","443.4","433.4","6160"
"7270","occ","","","506","Cyclocrinus sp.","genus","32558","","Cyclocrinus","genus","32558","Aeronian","","440.8","438.5","6160"
"7285","occ","","","507","Cyclocrinus sp.","genus","32558","","Cyclocrinus","genus","32558","Aeronian","","440.8","438.5","6160"
"7307","occ","","","508","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","6608"
"7320","occ","","","511","Eucalyptocrinites sp.","genus","31761","","Eucalyptocrinites","genus","31761","Silurian","","443.4","419.2","61179"
"7417","occ","","","520","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","61274"
"7460","occ","","","521","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","61202"
"7472","occ","","","523","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ludlow","","427.4","423","6660"
"7531","occ","","","527","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Llandovery","","443.4","433.4","6817"
"7601","occ","","","528","Myelodactylus sp.","genus","31954","","Myelodactylus","genus","31954","Silurian","","443.4","419.2","17055"
"7602","occ","","","528","Abyssocrinus sp.","genus","31876","","Abyssocrinus","genus","31876","Silurian","","443.4","419.2","17055"
"7603","occ","","","528","Stylocrinus sp.","genus","31987","","Stylocrinus","genus","31987","Silurian","","443.4","419.2","17055"
"7604","occ","","","528","Pisocrinus sp.","genus","31972","","Pisocrinus","genus","31972","Silurian","","443.4","419.2","17055"
"7606","occ","","","528","Calceocrinus sp.","genus","31891","","Calceocrinus","genus","31891","Silurian","","443.4","419.2","17055"
"7607","occ","","","528","Grypocrinus sp.","genus","31929","","Grypocrinus","genus","31929","Silurian","","443.4","419.2","17055"
"7608","occ","","","528","Synchirocrinus sp.","genus","31990","","Synchirocrinus","genus","31990","Silurian","","443.4","419.2","17055"
"7609","occ","","","528","Parazophocrinus sp.","genus","31964","","Parazophocrinus","genus","31964","Silurian","","443.4","419.2","17055"
"7610","occ","","","528","Zophocrinus sp.","genus","32012","","Zophocrinus","genus","32012","Silurian","","443.4","419.2","17055"
"7611","occ","","","528","Bactrocrinites sp.","genus","32072","","Bactrocrinites","genus","32072","Silurian","","443.4","419.2","17055"
"7612","occ","","","528","Botryocrinus sp.","genus","32083","","Botryocrinus","genus","32083","Silurian","","443.4","419.2","17055"
"7613","occ","","","528","Euspirocrinus sp.","genus","32164","","Euspirocrinus","genus","32164","Silurian","","443.4","419.2","17055"
"7614","occ","","","528","Thalamocrinus sp.","genus","32421","","Thalamocrinus","genus","32421","Silurian","","443.4","419.2","17055"
"7615","occ","","","528","Gissocrinus sp.","genus","32177","","Gissocrinus","genus","32177","Silurian","","443.4","419.2","17055"
"7616","occ","","","528","Neoarchaeocrinus sp.","genus","31638","","Neoarchaeocrinus","genus","31638","Silurian","","443.4","419.2","17055"
"7617","occ","","","528","Siphonocrinus sp.","genus","31667","","Siphonocrinus","genus","31667","Silurian","","443.4","419.2","17055"
"7618","occ","","","528","Elpidocrinus sp.","genus","31617","","Elpidocrinus","genus","31617","Silurian","","443.4","419.2","17055"
"7619","occ","","","528","Lampterocrinus sp.","genus","31630","","Lampterocrinus","genus","31630","Silurian","","443.4","419.2","17055"
"7620","occ","","","528","Gazacrinus sp.","genus","31622","","Gazacrinus","genus","31622","Silurian","","443.4","419.2","17055"
"7621","occ","","","528","Hexacrinites sp.","genus","31775","","Hexacrinites","genus","31775","Silurian","","443.4","419.2","17055"
"7622","occ","","","528","Scyphocrinites sp.","genus","31844","","Scyphocrinites","genus","31844","Silurian","","443.4","419.2","17055"
"7623","occ","","","528","Eucalyptocrinites sp.","genus","31761","","Eucalyptocrinites","genus","31761","Silurian","","443.4","419.2","17055"
"7624","occ","","","528","Marsupiocrinus sp.","genus","31795","","Marsupiocrinus","genus","31795","Silurian","","443.4","419.2","17055"
"7625","occ","","","528","Macrostylocrinus sp.","genus","31790","","Macrostylocrinus","genus","31790","Silurian","","443.4","419.2","17055"
"7626","occ","","","528","Allocrinus sp.","genus","31691","","Allocrinus","genus","31691","Silurian","","443.4","419.2","17055"
"7628","occ","","","528","Asaphocrinus sp.","genus","32481","","Asaphocrinus","genus","32481","Silurian","","443.4","419.2","17055"
"7630","occ","","","528","Lecanocrinus sp.","genus","32499","","Lecanocrinus","genus","32499","Silurian","","443.4","419.2","17055"
"7631","occ","","","528","Gnorimocrinus sp.","genus","32460","","Gnorimocrinus","genus","32460","Silurian","","443.4","419.2","17055"
"7684","occ","","","529","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Gorstian","","427.4","425.6","25317"
"7776","occ","","","533","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Ludlow","","427.4","423","25317"
"7929","occ","","","541","Calceocrinus sp.","genus","31891","","Calceocrinus","genus","31891","Wenlock","","433.4","427.4","13433"
"7930","occ","","","541","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Wenlock","","433.4","427.4","13433"
"7931","occ","","","541","Dimerocrinites sp.","genus","31616","","Dimerocrinites","genus","31616","Wenlock","","433.4","427.4","13433"
